LAT,LON,ER100,ER150,ER_Prob,RP10,RP20,RP50,RP100,RP_Avg,P_D1,P_D2,P_D3,P_D4,Drought_Prob,RP_Prob,Composite_Hazard
24,84.25,0.0014,0.0003,0.0009,163.72,174.37,210.84,302.78,212.93,0.1667,0.0614,0.0088,0.0088,0.0614,0.250988611,0.1001
24,84.5,0.0009,0.0002,0.0006,143.01,160.5,263.52,270.26,209.32,0.1579,0.0439,0.0263,0.0088,0.0592,0.246485286,0.0978
24,84.75,0.001,0.0002,0.0006,131.84,152.45,213.37,233.5,182.79,0.1316,0.0439,0.0088,0.0088,0.0482,0.213390217,0.0835
24,85,0.0013,0.0002,0.0008,151.77,174.16,222.33,231.87,195.03,0.1579,0.0351,0.0088,0.0088,0.0526,0.228659107,0.0899
24,85.25,0.001,0.0002,0.0006,144.89,179.12,199.94,264.77,197.18,0.1667,0.0614,0.0088,0.0088,0.0614,0.231341142,0.0941
24,85.5,0.0014,0.0003,0.0009,154.16,191.43,206.33,206.86,189.7,0.1228,0.0351,0.0088,0.0088,0.0439,0.222010154,0.0844
24,85.75,0.0016,0.0004,0.001,151.96,184.4,291.05,389.31,254.18,0.1579,0.0263,0.0088,0.0088,0.0504,0.302446266,0.1112
24,86,0.0009,0.0002,0.0005,144.7,170.06,185.66,250.15,187.64,0.1491,0.0526,0.0175,0.0088,0.057,0.21944039,0.0888
24,86.25,0.0009,0.0001,0.0005,129.34,157.69,190.44,202.4,169.97,0.1667,0.0702,0.0175,0.0088,0.0658,0.197397802,0.0857
24,86.5,0.0009,0.0002,0.0005,143.4,173.62,206.53,209.52,183.27,0.1579,0.0439,0.0263,0.0175,0.0614,0.213988997,0.0889
24,86.75,0.0009,0.0002,0.0006,140.38,167.44,194.96,241.07,185.96,0.1404,0.0526,0.0175,0.0088,0.0548,0.21734466,0.0873
24,87,0.0011,0.0003,0.0007,148,179.56,224.63,430.42,245.65,0.1842,0.0614,0.0088,0.0088,0.0658,0.291805446,0.1141
24,87.25,0.0016,0.0004,0.001,168.69,206.45,296.15,569.62,310.23,0.1842,0.0614,0.0088,0.0088,0.0658,0.372366304,0.1383
24,87.5,0.0012,0.0003,0.0007,144.73,182.38,267.46,349.13,235.92,0.1316,0.0702,0.0175,0.0088,0.057,0.279667677,0.1069
24,87.75,0.0019,0.0003,0.0011,154.72,173.29,323.99,340.13,248.03,0.1491,0.0614,0.0263,0.0088,0.0614,0.294774397,0.1133
24,88,0.0011,0.0002,0.0007,146.47,167.56,202.97,249.83,191.71,0.1404,0.0702,0.0351,0.0175,0.0658,0.224517546,0.0939
24,88.25,0.001,0.0001,0.0005,139.46,165.7,184.02,231.54,180.18,0.1404,0.0614,0.0263,0.0175,0.0614,0.210134351,0.0878
24,88.5,0.0009,0.0001,0.0005,129.92,164.09,185.03,239.15,179.55,0.1316,0.0702,0.0263,0.0175,0.0614,0.209348453,0.0875
24,88.75,0,0,0,,,,,,0,0,0,0,0,,
24,89,0,0,0,,,,,,0,0,0,0,0,,
24,89.25,0,0,0,,,,,,0,0,0,0,0,,
24,89.5,0,0,0,,,,,,0,0,0,0,0,,
24,89.75,0,0,0,,,,,,0,0,0,0,0,,
24,90,0,0,0,,,,,,0,0,0,0,0,,
24,90.25,0,0,0,,,,,,0,0,0,0,0,,
24,90.5,0,0,0,,,,,,0,0,0,0,0,,
24,90.75,0,0,0,,,,,,0,0,0,0,0,,
24,91,0,0,0,,,,,,0,0,0,0,0,,
24,91.25,0.0044,0.0011,0.0028,195.05,251.1,296.41,434.07,294.16,0.1053,0.0526,0.0175,0,0.0439,0.352319649,0.1241
24,91.5,0.0025,0.0005,0.0015,173.05,193.54,215.18,215.96,199.43,0.1316,0.0263,0.0088,0.0088,0.0439,0.234147924,0.0883
24,91.75,0.0022,0.0005,0.0014,171.73,217.64,240.47,304.15,233.5,0.1316,0.0439,0.0088,0.0088,0.0482,0.276648828,0.1027
24,92,0.002,0.0005,0.0013,169.42,195.2,237.43,267.11,217.29,0.1491,0.0526,0.0175,0.0175,0.0592,0.256427529,0.101
24,92.25,0.0016,0.0003,0.001,143.47,176.66,227.01,268.39,203.88,0.1491,0.0614,0.0351,0.0088,0.0636,0.239699113,0.0976
24,92.5,0.0014,0.0002,0.0008,142.23,172.05,183.42,281.15,194.71,0.1404,0.0877,0.0351,0.0175,0.0702,0.22825992,0.0968
24,92.75,0.0013,0.0002,0.0007,139.25,171.03,190.4,284.37,196.26,0.1667,0.0877,0.0526,0.0175,0.0811,0.230193481,0.1017
24,93,0.0011,0.0002,0.0006,134.57,167.07,189.73,261.31,188.17,0.1667,0.1053,0.0526,0.0175,0.0855,0.220101543,0.1004
24,93.25,0.0005,0,0.0003,117.38,130.85,152.13,160.96,140.33,0.1667,0.0965,0.0351,0.0175,0.0789,0.160423138,0.0798
24,93.5,0.0004,0.0001,0.0003,113.13,134.05,161.23,179.52,146.98,0.0965,0.0526,0.0263,0.0175,0.0482,0.168718736,0.07
24,93.75,0.0006,0.0002,0.0004,120.71,158.55,190.18,235.1,176.13,0.1053,0.0351,0.0263,0.0088,0.0439,0.205082145,0.0792
24,94,0.0006,0.0002,0.0004,114.02,158.6,190.5,255.68,179.7,0.0965,0.0702,0.0351,0.0263,0.057,0.209535571,0.0858
24,94.25,0,0,0,,,,,,0,0,0,0,0,,
24,94.5,0,0,0,,,,,,0,0,0,0,0,,
24,94.75,0,0,0,,,,,,0,0,0,0,0,,
24,95,0,0,0,,,,,,0,0,0,0,0,,
24,95.25,0,0,0,,,,,,0,0,0,0,0,,
24,95.5,0,0,0,,,,,,0,0,0,0,0,,
24,95.75,0,0,0,,,,,,0,0,0,0,0,,
24,96,0,0,0,,,,,,0,0,0,0,0,,
24,96.25,0,0,0,,,,,,0,0,0,0,0,,
24,96.5,0,0,0,,,,,,0,0,0,0,0,,
24,96.75,0,0,0,,,,,,0,0,0,0,0,,
24,97,0,0,0,,,,,,0,0,0,0,0,,
24,97.25,0,0,0,,,,,,0,0,0,0,0,,
24,97.5,0,0,0,,,,,,0,0,0,0,0,,
24,97.75,0,0,0,,,,,,0,0,0,0,0,,
24,98,0,0,0,,,,,,0,0,0,0,0,,
24,98.25,0,0,0,,,,,,0,0,0,0,0,,
24,98.5,0,0,0,,,,,,0,0,0,0,0,,
24,98.75,0,0,0,,,,,,0,0,0,0,0,,
24,99,0,0,0,,,,,,0,0,0,0,0,,
24,99.25,0,0,0,,,,,,0,0,0,0,0,,
24,99.5,0,0,0,,,,,,0,0,0,0,0,,
24,99.75,0,0,0,,,,,,0,0,0,0,0,,
24,100,0,0,0,,,,,,0,0,0,0,0,,
24.25,66.5,0,0,0,,,,,,0,0,0,0,0,,
24.25,66.75,0,0,0,,,,,,0,0,0,0,0,,
24.25,67,0,0,0,,,,,,0,0,0,0,0,,
24.25,67.25,0,0,0,,,,,,0,0,0,0,0,,
24.25,67.5,0,0,0,,,,,,0,0,0,0,0,,
24.25,67.75,0,0,0,,,,,,0,0,0,0,0,,
24.25,68,0,0,0,,,,,,0,0,0,0,0,,
24.25,68.25,0,0,0,,,,,,0,0,0,0,0,,
24.25,68.5,0,0,0,,,,,,0,0,0,0,0,,
24.25,68.75,0.0013,0.0006,0.001,213.08,335.6,368.7,,,0,0,0,0,0,,
24.25,69,0.0012,0.0005,0.0008,187.54,311.02,368.7,,,0,0,0,0,0,,
24.25,69.25,0.0012,0.0004,0.0008,162.3,280.05,368.7,,,0,0,0,0,0,,
24.25,69.5,0.0011,0.0004,0.0008,162.17,219.42,299.89,366.85,262.08,0.1491,0.0263,0,0,0.0439,0.312301186,0.1115
24.25,69.75,0.0009,0.0003,0.0006,151.32,199.81,234.08,254.35,209.89,0.1667,0.0263,0,0,0.0482,0.247196337,0.0936
24.25,70,0.0011,0.0003,0.0007,153.72,198.04,235.5,292.48,219.94,0.1667,0.0263,0,0,0.0482,0.259733293,0.0974
24.25,70.25,0.001,0.0003,0.0007,156.65,205.5,258.19,258.93,219.82,0.1491,0.0351,0,0,0.0461,0.259583598,0.0965
24.25,70.5,0.0008,0.0002,0.0005,142.06,170.71,248.65,258.33,204.94,0.1491,0.0614,0,0,0.0526,0.241021419,0.0935
24.25,70.75,0.0007,0.0001,0.0004,126.24,154.43,268.49,317.43,216.65,0.1842,0.0614,0,0,0.0614,0.255629156,0.1014
24.25,71,0.0011,0.0003,0.0007,155.23,207.97,270.3,366.58,250.02,0.1667,0.0614,0,0,0.057,0.297256839,0.1122
